,key,number,name,Event_1_Week,Event_1_Key,Event_1_fused,Event_2_Week,Event_2_Key,Event_2_fused,EPA,Win_Rate,EPA_Rank,EPA_Percentile
233,frc5504,5504,The Loose Connections,4.0,mimid,4mimid,2.0,mitvc,2mitvc,8.72,0.4167,393,0.2309
234,frc5505,5505,V2 - Volts Squared,4.0,mibig,4mibig,0.0,milac,0milac,20.87,0.6354,152,0.7025
235,frc5509,5509,Like a Boss,4.0,mimid,4mimid,2.0,mimus,2mimus,11.68,0.4138,307,0.3992
236,frc5517,5517,The Engineers on Fire,1.0,mike2,1mike2,3.0,mimas,3mimas,8.97,0.2083,387,0.2427
237,frc5525,5525,Alcona Tool Cats,4.0,mimid,4mimid,,,,22.68,0.6034,131,0.7436
238,frc5527,5527,Cyber Phoenix,1.0,mike2,1mike2,3.0,mitry,3mitry,10.65,0.4808,337,0.3405
239,frc5530,5530,Greenhills Lawnmowers,4.0,midet,4midet,0.0,mifer,0mifer,28.01,0.5227,80,0.8434
240,frc5531,5531,Orange Crush,2.0,mibel,2mibel,3.0,mibro,3mibro,8.17,0.4583,411,0.1957
241,frc5532,5532,The Panther Bots,4.0,midet,4midet,2.0,midtr,2midtr,6.46,0.3333,453,0.1135
242,frc5533,5533,Electric Horse Power,1.0,mike2,1mike2,3.0,misal,3misal,18.13,0.5476,194,0.6204
243,frc5534,5534,Onaway Onabots,1.0,mimtp,1mimtp,2.0,mitvc,2mitvc,21.92,0.5517,137,0.7319
244,frc5535,5535,Bionic Bison,2.0,miber,2miber,4.0,mibig,4mibig,18.24,0.4483,190,0.6282
245,frc5538,5538,Vikingbots,1.0,mike2,1mike2,4.0,mimid,4mimid,9.47,0.375,372,0.272
246,frc5547,5547,The Talons,1.0,miesc,1miesc,3.0,milsu,3milsu,15.17,0.5,243,0.5245
247,frc5555,5555,Spartans,2.0,mibel,2mibel,3.0,mitry,3mitry,11.83,0.3462,305,0.4031
248,frc5559,5559,Gear Grinders,2.0,mibkn,2mibkn,1.0,misjo,1misjo,6.66,0.3125,447,0.1252
249,frc5560,5560,Central Lake Trobotics,1.0,mimtp,1mimtp,2.0,mitvc,2mitvc,11.67,0.2917,308,0.3973
250,frc5561,5561,Raider Robotics,1.0,mike2,1mike2,0.0,mimil,0mimil,17.52,0.5,205,0.5988
251,frc5567,5567,Code Red Robotics,2.0,mibel,2mibel,3.0,misal,3misal,22.55,0.4483,133,0.7397
252,frc5577,5577,Kinematic Wolves,4.0,midet,4midet,0.0,mifer,0mifer,21.27,0.4773,145,0.7162
253,frc5603,5603,The WarriorBots,0.0,milac,0milac,4.0,mimid,4mimid,22.55,0.4828,134,0.7378
254,frc5610,5610,Turbulence,1.0,misjo,1misjo,3.0,miwmi,3miwmi,18.22,0.5357,191,0.6262
255,frc5612,5612,Robo-Raptors,1.0,mike2,1mike2,,,,24.71,0.6111,101,0.8023
256,frc5619,5619,RoboJags,3.0,mibro,3mibro,4.0,midet,4midet,5.49,0.3333,469,0.0822
257,frc5623,5623,Robotic Rams,0.0,mibat,0mibat,3.0,mitry,3mitry,8.75,0.25,391,0.2348
258,frc5641,5641,Byron Robotics,3.0,mibro,3mibro,0.0,miket,0miket,11.49,0.4318,315,0.3836
259,frc5642,5642,Mumford Mechanical Mustangs,2.0,midtr,2midtr,0.0,mifer,0mifer,5.92,0.52,462,0.0959
260,frc5660,5660,Symmetrical Chaos,1.0,mike2,1mike2,3.0,misal,3misal,21.16,0.3793,147,0.7123
261,frc5674,5674,The Gearhounds,0.0,mibat,0mibat,3.0,mimas,3mimas,16.44,0.3846,224,0.5616
262,frc5675,5675,WiredCats,1.0,misjo,1misjo,3.0,miwmi,3miwmi,32.58,0.68,47,0.908
263,frc5676,5676,The H.E.R.O.E.S,0.0,mibat,0mibat,2.0,mibkn,2mibkn,26.97,0.625,88,0.8278
264,frc5695,5695,Heavy Duty Eagles,2.0,mibel,2mibel,4.0,midet,4midet,6.96,0.3889,438,0.1429
265,frc5697,5697,Bearcats,0.0,miket,0miket,2.0,mimus,2mimus,9.94,0.3333,359,0.2975
266,frc5702,5702,Robotowatomi,1.0,miesc,1miesc,,,,5.26,0.3542,475,0.0705
267,frc5704,5704,Weird & Wired,3.0,mimas,3mimas,4.0,mimid,4mimid,9.37,0.375,377,0.2622
268,frc5706,5706,Tahquamenon Phenomenon,4.0,mibig,4mibig,1.0,miesc,1miesc,8.62,0.4583,402,0.2133
269,frc5708,5708,Zebrotics,0.0,mifer,0mifer,3.0,misal,3misal,18.56,0.45,181,0.6458
270,frc5712,5712,Hemlock's Gray Matter,1.0,mimtp,1mimtp,3.0,miwmi,3miwmi,43.66,0.7465,8,0.9843
271,frc573,573,Mech Warriors,0.0,miket,0miket,3.0,mitry,3mitry,23.14,0.5714,127,0.7515
